N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
M33;;;Mappette con raccoglitore rosse;1;PZ;41;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M34;;;Mappette con raccoglitore verdi;1;PZ;88;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M40;;;Mappette sospese VetroMobil;1;PZ;137;21.04.2021;;50;;;NO
M45;;;Mappette Jura Biella verdi;1;PZ;42;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M46;;;Mappette Jura Biella gialle;1;PZ;70;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M47;;;Mappette Jura Biella rosa;1;PZ;42;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M48;;;Mappette Jura Biella blu;1;PZ;53;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M5;;;Mappette magnetiche per lavagna bianca;1;PZ;27;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M50;;;Mollette fermafogli per binari;1;PZ;3;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M55;;;Matite grigie;1;PZ;12;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M56;100000020;;Matite rosse;1;PZ;25;15/26.3.2021;;10;;;NO
M57;;;Matite con gommino (non esiste);;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M58;;;Mine matita 2mm (confezione da 3pz);3;SC;6;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
M59;100000220;;Matita per mine Flexpencil N°22;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
ML1;;;Mappette custodie PVC libretto;;;;15/26.3.2021;Si;;Segr;;No, attendere fine stock ed eliminare articolo
N1;100000150;;Nastro adesivo per pacchi;1;PZ;3;15/26.3.2021;;1;;;NO
N2;100000374;;Nastro adesivo di carta;1;PZ;14;15/26.3.2021;;3;;;NO
P1;;;Pennarelli per fogli flipchart;;;;15/26.3.2021;Si;;v. pennarelli per flipchart;;No, attendere fine stock ed eliminare articolo
P1.1;;;Pennarelli neri per Smart Board;;;17;05.05.2021;;1;etichettarli dal custode/vedi commento P1.1;;NO
P1.2;;;Pennarelli blu per Smart Board;;;4;05.05.2021;;1;etichettarli dal custode/vedi commento P1.2;;NO
P1.3;;;Pennarelli verdi per Smart Board;;;3;05.05.2021;;1;etichettarli dal custode/vedi commento P1.3;;NO
P1.4;;;Pennarelli rossi per Smart Board;;;2;05.05.2021;;1;etichettarli dal custode/vedi commento P1.4;;NO
P1.5;;;Punte di ricambio per pennarelli per Smart Board;;;24;05.05.2021;;10;etichettarli dal custode/vedi commento P1.5;;NO
P10;10000017;;Penna a biglia blu;50;PZ;126;15/26.3.2021;;20;;;NO
P11;100000015;;Penne a biglia nere;50;SC;65;15/26.3.2021;;20;;;NO
P12;100000016;;Penne a biglia rosse;50;SC;72;15/26.3.2021;;20;;;NO
P13;;110825210;Penne a biglia verdi;50;SC;55;15/26.3.2021;;20;;;NO
P15;100000245;;Portacancelleria;1;PZ;1;21.04.2021;;1;;;NO
P2;;;Pennarelli per lavagna bianca;;;;15/26.3.2021;Si;;v. P2.1 ecc.;;No, attendere fine stock ed eliminare articolo
P2.1;100000670;;Pennarello per lavagna bianca Blu;10;SC;17;15/26.3.2021;;10;;;NO
P2.2;100000671;;Pennarello per lavagna bianca Nero;10;SC;15;15/26.3.2021;;10;;;NO
P2.3;100000672;;Pennarello per lavagna bianca Rosso;10;SC;21;15/26.3.2021;;10;;;NO
P2.4;100000673;;Pennarello per lavagna bianca Verde;10;SC;21;15/26.3.2021;;10;;;NO
P20;;926108;Plastificazione A3;100;SC;300;21.04.2021;;;;;Manca quantità MINIMA
P21;;926104;Plastificazione A4 (100 Micron);100;SC;200;21.04.2021;;;;;Manca quantità MINIMA
P22;;926111;Plastificazione A5;100;SC;100;21.04.2021;;;;;Manca quantità MINIMA
P23;;926118;Plastificazione businnes card;100;SC;200;21.04.2021;;;;;Manca quantità MINIMA
P24;;926116;Plastificazione credit card;100;SC;200;21.04.2021;;;;;Manca quantità MINIMA
P3;100000084;;Pennarelli per retroproiettore;6;ASTUCCIO;180;15/26.3.2021;;24;;;NO
P30;;302670;Post-it colorati 15x50;1;PZ;6;15/26.3.2021;;10;;;SI, 4
